name         , type       , strDefault, attributes                                , upgrades, docOrder, description
range        , blkrange   ,           , sorts|width=150px|readOnly                ,         ,        1, the block range (inclusive) covered by this chunk
nAddrs       , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        2, the number of addresses in the chunk
nApps        , uint64     ,           , sorts|width=100px|readOnly|textAlign=right,         ,        3, the number of appearances in the chunk
nBlocks      , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        4, the number of blocks in the chunk
nBlooms      , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        5, the number of bloom filters in the chunk's bloom
recWid       , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        6, the record width of a single bloom filter
bloomSz      , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        7, the size of the bloom filters on disc in bytes
chunkSz      , uint64     ,           , sorts|width=120px|readOnly|textAlign=right,         ,        8, the size of the chunks on disc in bytes
addrsPerBlock, float64    ,           , sorts|width=100px|readOnly|textAlign=right,         ,        9, the average number of addresses per block
appsPerBlock , float64    ,           , sorts|width=100px|readOnly|textAlign=right,         ,       10, the average number of appearances per block
appsPerAddr  , float64    ,           , sorts|width=100px|readOnly|textAlign=right,         ,       11, the average number of appearances per address
ratio        , float64    ,           , sorts|width=100px|readOnly|textAlign=right,         ,       12, the ratio of appearances to addresses
rangeDates   , *RangeDates,           , noui|sorts|omitempty                      ,         ,       13, if verbose&#44; the block and timestamp bounds of the chunk (may be null)
